Unnamed: 0,filename,candidates,choices,gamma,og_irv,og_condorcet,og_plurality,Bvote_free_irv,Bvote_free_condorcet,Bvote_free_plurality,Tvote_free_irv,Tvote_free_condorcet,Tvote_free_plurality,bullet_votes,voluntarily_truncated_votes,total_votes,level,gamma_complete,complete_ballots_count
177,NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict.csv,6,5,0.72241342,Tony Avella,Tony Avella,Tony Avella,Tony Avella,Tony Avella,Tony Avella,,,,4436,,13077,LOCAL,0.07415406767458603,2778.0
178,NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,9,5,0.64229131,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,,,,6270,,21839,LOCAL,,
179,NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,8,5,0.65717775,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,,,,2967,,10644,LOCAL,,
180,NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict.csv,5,5,0.73592633,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,2741,5095.0,6839,LOCAL,0.13360091743119265,1744.0
181,NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict.csv,6,5,0.68795025,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,,,,4203,,16241,LOCAL,0.025006314725940892,3959.0
182,NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict.csv,7,5,0.65557706,Linda Lee,Linda Lee,Linda Lee,Linda Lee,Linda Lee,Linda Lee,,,,4974,,16532,LOCAL,,
183,NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,4,5,0.7804296,James F. Gennaro,James F. Gennaro,James F. Gennaro,Moumita Ahmed,Moumita Ahmed,James F. Gennaro,Moumita Ahmed,Moumita Ahmed,James F. Gennaro,6801,10075.0,13408,LOCAL,0.37533753375337536,3333.0
184,NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,8,5,0.66188782,Shekar Krishnan,Shekar Krishnan,Yi Andy Chen,Shekar Krishnan,Shekar Krishnan,Shekar Krishnan,,,,4789,,14927,LOCAL,,
185,NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,15,5,0.47999999,Julie Won,Julie Won,Julie Won,Julie Won,Julie Won,Julie Won,,,,3277,,17925,LOCAL,,
186,NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,12,5,0.48863858,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,,,,4623,,20420,LOCAL,,
187,NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,3,4,0.89020389,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,6046,8718.0,14026,LOCAL,0.7098718914845517,5308.0
188,NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,9,5,0.61665988,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,,,,4099,,17131,LOCAL,,
189,NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,3,4,0.87961978,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,7854,9359.0,15991,LOCAL,0.7097406513872135,6632.0
190,NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,6,5,0.69044125,Felicia Singh,Felicia Singh,Felicia Singh,Felicia Singh,Felicia Singh,Felicia Singh,,,,4159,,10221,LOCAL,0.00905155450609996,2541.0
191,NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,8,5,0.70025361,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,,,,10858,,29178,LOCAL,,
192,NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,4,5,0.82165295,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,8526,12556.0,16395,LOCAL,0.3537379525918208,3839.0
193,NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,7,5,0.73563612,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,,,,9434,,34914,LOCAL,,
194,NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict.csv,5,5,0.73489934,Chi A. Osse,Chi A. Osse,Chi A. Osse,Chi A. Osse,Chi A. Osse,Chi A. Osse,Tahirah A. Moore,Tahirah A. Moore,Henry L. Butler,7543,18013.0,23244,LOCAL,0.1491110686293252,5231.0
195,NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict.csv,6,5,0.7021687,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,,,,4334,,10882,LOCAL,0.017400204708290685,2931.0
196,NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict.csv,6,5,0.70643109,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,,,,4415,,12113,LOCAL,0.052360174533915116,2521.0
197,NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict.csv,7,5,0.670614,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,,,,7566,,36058,LOCAL,,
198,NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict.csv,6,5,0.72500265,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,,,,10335,,28513,LOCAL,0.02699228791773779,6224.0
199,NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict.csv,11,5,0.60243279,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,,,,5739,,22361,LOCAL,,
200,NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,4,5,0.75726354,Charles Barron,Charles Barron,Charles Barron,Nikki Lucas,Nikki Lucas,Charles Barron,Charles Barron,Charles Barron,Charles Barron,5924,10254.0,15626,LOCAL,0.38011913626209975,5372.0
