filename,diff,linearvotersfailure,gamma,null_gamma,mirror,choices,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2
Alaska_11082022_HouseDistrict28.csv,[],no,0.79952991,,,,4,STATE,YES,R,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",0.66066068,0,0,2.9265559,1
Alaska_11082022_HouseDistrict29.csv,[],no,1,,,,2,STATE,YES,R,"Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George",,"Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George",0.996997,0,0,,1
Alaska_11082022_HouseDistrict30.csv,[],no,0.97451556,,,,3,STATE,YES,R,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",0.3073073,0,0,3.1555324,1
Alaska_11082022_HouseDistrict31.csv,['Approval'],no,0.91760302,,YES,,3,STATE,YES,R,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.",,"Dibert, Maxine L.","Dibert, Maxine L.","LeBon, Barton S.","Dibert, Maxine L.",0.65065068,0.33681509,0.65376419,2.2283971,1
Alaska_11082022_HouseDistrict32.csv,[],no,0.91522217,,YES,,3,STATE,YES,R,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",0.98298299,0.14738026,0,2.6406155,1
Alaska_11082022_HouseDistrict34.csv,[],no,0.9292683,,,,3,STATE,YES,R,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",0.98098099,0.16716197,0,3.2505865,1
Alaska_11082022_HouseDistrict35.csv,[],no,0.90710747,,,,4,STATE,YES,R,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",0.7007007,0.14745302,0,1.5450485,1
Alaska_11082022_HouseDistrict36.csv,[],no,1,,,,2,STATE,YES,R,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",0.997998,0,0,,1
Alaska_11082022_HouseDistrict39.csv,[],no,1,,,,2,STATE,YES,R,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",0.992993,0.47649795,0,,1
Alaska_11082022_HouseDistrict4.csv,[],no,1,,,,2,STATE,YES,R,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",0.997998,0,0,,1
Alaska_11082022_HouseDistrict5.csv,[],no,1,,,,2,STATE,YES,R,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.",,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.",0.995996,0.18529107,0,,1
Alaska_11082022_HouseDistrict6.csv,[],no,0.94118267,,YES,,3,STATE,YES,R,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",0.98298299,0.31114131,0,2.6664042,1
Alaska_11082022_HouseDistrict7.csv,[],no,1,,,,2,STATE,YES,R,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin",,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin",0.995996,0.41450566,0,,1
Alaska_11082022_HouseDistrict9.csv,[],no,1,,,,2,STATE,YES,R,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",0.997998,0.24820788,0,,1
Alaska_11082022_SenateDistrictA.csv,[],no,1,,,,2,STATE,YES,S,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",0.996997,0.028147586,0,,1
Alaska_11082022_SenateDistrictC.csv,[],no,0.94512415,,,,3,STATE,YES,S,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",0.54454452,0.16288899,0,2.1396968,1
Alaska_11082022_SenateDistrictD.csv,[],no,0.94079727,,,,3,STATE,YES,S,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",0.32232231,0.31506911,0.32601073,3.4126835,1
Alaska_11082022_SenateDistrictE.csv,[],no,0.97468579,,,,3,STATE,YES,S,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",0.987988,0,0,3.6715939,1
Alaska_11082022_SenateDistrictF.csv,[],no,1,,,,2,STATE,YES,S,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",0.997998,0.25783527,0,,1
Alaska_11082022_SenateDistrictG.csv,[],no,1,,,,2,STATE,YES,S,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",0.997998,0.27235401,0,,1
Alaska_11082022_SenateDistrictH.csv,[],no,1,,,,2,STATE,YES,S,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt",,"Claman, Matt","Claman, Matt","Costello, Mia","Costello, Mia",0.997998,0.42703173,0,,1
Alaska_11082022_SenateDistrictI.csv,[],no,1,,,,2,STATE,YES,S,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",0.997998,0.047526501,0,,1
Alaska_11082022_SenateDistrictJ.csv,[],no,0.9500578,,YES,,3,STATE,YES,S,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",0.97697699,0.19988154,0,3.1323633,1
Alaska_11082022_SenateDistrictK.csv,[],no,1,,,,2,STATE,YES,S,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",0.996997,0.24638101,0,,1
Alaska_11082022_SenateDistrictL.csv,[],no,1,,,,2,STATE,YES,S,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",0.994995,0.32930514,0,,1
Alaska_11082022_SenateDistrictM.csv,[],no,1,,,,2,STATE,YES,S,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",0.997998,0,0,,1
