Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,diff,linear voters failure,gamma,mirror,#candidates,level,partisan,type,IRV1,IRV2,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality
49,49,49,Alaska_11082022_SenateDistrictN.csv,['Approval'],no,0.870596382,,3,STATE,YES,S,"Wilson, David S.","Wilson, David S.","Wilson, David S.","Wilson, David S.",,"Wilson, David S.","Wilson, David S.","Wright, Stephen","Wilson, David S.",0.47047047,0.370980221,0.475988378,2.726995593
51,51,51,Alaska_11082022_SenateDistrictP.csv,[],no,0.886455606,,3,STATE,YES,S,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott",,"Kawasaki, Scott","Kawasaki, Scott","Matherly, Jim","Matherly, Jim",0.983983984,0.474461949,0.65279966,3.117095974
52,52,52,Alaska_11082022_SenateDistrictQ.csv,[],no,0.908888034,YES,3,STATE,YES,S,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",0.993993994,0.021213402,0,2.104574261
53,53,53,Alaska_11082022_SenateDistrictR.csv,[],no,0.910315127,,3,STATE,YES,S,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",0.431431431,0.159046123,0,1.98991165
91,91,91,Burlington_03072023_CityCouncilSouthDistrict.csv,[],no,0.881618084,,3,LOCAL,YES,R,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,0.52952953,0.030745292,0,0.295237095
113,113,113,Maine_11082022_CongressionalDistrict2.csv,[],no,0.954574129,YES,3,FEDERAL,YES,R,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest",,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest",0.983983984,0.351825428,0.440162994,2.998961486
303,303,303,PierceCounty_11032009_CountyAuditor.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.885395855,,3,LOCAL,YES,O,Julie Anderson,Jan Shabro,Julie Anderson,Julie Anderson,,Jan Shabro,Julie Anderson,Jan Shabro,Julie Anderson,0.399399399,0.247992356,0.40559317,3.654503077
305,305,305,PierceCounty_11042008_CountyCouncilDistrict2.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.892077152,,3,LOCAL,YES,R,Joyce McDonald,Al Rose,Joyce McDonald,Joyce McDonald,,Al Rose,Joyce McDonald,Al Rose,Joyce McDonald,0.583583584,0.327844169,0.585426146,1.947804334
2,2,2,Alaska_11082022_GovernorLieutenantGovernor.csv,[],no,0.880670776,,4,STATE,YES,E,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,0.952952953,0.131725639,0.238585973,1.796622558
15,15,15,Alaska_11082022_HouseDistrict20.csv,[],no,0.853639083,,4,STATE,YES,R,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",0.975975976,0.137872477,0,1.912510021
23,23,23,Alaska_11082022_HouseDistrict28.csv,[],no,0.799529886,,4,STATE,YES,R,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",0.660660661,0,0,2.926555791
29,29,29,Alaska_11082022_HouseDistrict35.csv,[],no,0.907107482,,4,STATE,YES,R,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",0.700700701,0.147453018,0,1.545048473
55,55,55,Alaska_11082022_USRepresentative.csv,[],no,0.859503789,YES,4,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.970970971,0.315537818,0.315537818,2.279230135
56,56,56,Alaska_11082022_USSenator.csv,[],no,0.894756216,YES,4,FEDERAL,YES,S,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",0.763763764,0.395250634,0.415528905,3.093184599
112,112,112,Maine_11062018_CongressionalDistrict2.csv,[],no,0.843787158,YES,4,FEDERAL,YES,R,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","REP Poliquin, Bruce",,"DEM Golden, Jared F.","REP Poliquin, Bruce","DEM Golden, Jared F.","DEM Golden, Jared F.",0.983983984,0.405292925,0.315309037,3.038542891
306,306,306,PierceCounty_11042008_CountyExecutiveMember.csv,[],no,0.885866931,,4,LOCAL,YES,E,Pat McCarthy,Pat McCarthy,Pat McCarthy,Shawn Bunney,,Pat McCarthy,Shawn Bunney,Pat McCarthy,Pat McCarthy,0.747747748,0.247842159,0.337189092,2.449162739
87,87,87,Burlington_03032009_Mayor.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.651282051,,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Andy Montroll,Kurt Wright,,Andy Montroll,Kurt Wright,Andy Montroll,Andy Montroll,0.625625626,0.355418212,0.431453434,2.992283369
88,88,88,Burlington_03072006_Mayor.csv,[],no,0.720744681,,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Bob Kiss,Bob Kiss,,Hinda Miller,Bob Kiss,Hinda Miller,Bob Kiss,0.357357357,0.014119027,0,2.747441186
302,302,302,Payson_11052019_CityCouncil.csv,[],no,0.369443407,,5,LOCAL,NO,R,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON,,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON,0.161161161,0.06630475,0,2.759965576
304,304,304,PierceCounty_11042008_CountyAssessorTreasurer.csv,"['IRV', 'Condorcet', 'Approval']",no,0.823078863,,6,LOCAL,YES,O,Dale Washam,Barbara Gelman,Dale Washam,Dale Washam,,Jan Shabro,Dale Washam,Jan Shabro,Dale Washam,0.196196196,0.370190824,0.380947302,2.919944178
94,94,94,Easthampton_11022021_Mayor.csv,[],no,0.860262009,,66,LOCAL,YES,E,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,0.492492492,0,0,0.042918599
237,237,237,NewYorkCity_06222021_REPBoroughPresidentQueens.csv,[],no,1,,2,LOCAL,RP,E,219566,219566,219566,219566,,219566,219566,219566,219566,,,,
239,239,239,NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,[],no,1,,2,LOCAL,RP,R,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,0.993993994,0.424242423,0,
240,240,240,NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,[],no,1,,2,LOCAL,RP,R,Vickie Paladino,Vickie Paladino,Vickie Paladino,Vickie Paladino,,Vickie Paladino,Vickie Paladino,Vickie Paladino,Vickie Paladino,0.993993994,0.452278324,0,
241,241,241,NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict.csv,[],no,1,,2,LOCAL,RP,R,James F. Reilly,James F. Reilly,James F. Reilly,James F. Reilly,,James F. Reilly,James F. Reilly,James F. Reilly,James F. Reilly,0.994994995,0.238267148,0,
242,242,242,NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict.csv,[],no,1,,2,LOCAL,RP,R,Timothy Rosen,Timothy Rosen,Timothy Rosen,Timothy Rosen,,Timothy Rosen,Timothy Rosen,Timothy Rosen,Timothy Rosen,0.992992993,0.319811321,0,
243,243,243,NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict.csv,[],no,1,,2,LOCAL,RP,R,Joann Ariola,Joann Ariola,Joann Ariola,Joann Ariola,,Joann Ariola,Joann Ariola,Joann Ariola,Joann Ariola,0.996996997,0,0,
245,245,245,NewYorkCity_06222021_REPMayorCitywide.csv,[],no,1,,2,LOCAL,RP,E,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,0.993993994,0.197581049,0,
238,238,238,NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,"['IRV', 'Condorcet']",yes,0.841874458,,4,LOCAL,RP,E,Vito Fossella,Steven Matteo,Vito Fossella,Vito Fossella,,Steven Matteo,Vito Fossella,Vito Fossella,Vito Fossella,0.244244244,0.248756471,0.248756471,3.740936763
244,244,244,NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict.csv,"['IRV', 'Condorcet']",no,0.771511967,,5,LOCAL,RP,R,David M. Carr,Marko Kepi,David M. Carr,Marko Kepi,,Marko Kepi,Marko Kepi,Marko Kepi,Marko Kepi,0.192192192,0,0,3.322364811
59,59,59,Berkeley_03072017_CityCouncilDistrict4.csv,[],no,1,,2,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,0.993993994,0.285063114,0,
68,68,68,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,[],no,1,,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.994994995,0.092050209,0,
70,70,70,Berkeley_11042014_CityCouncilDistrict7.csv,[],no,1,,2,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,0.993993994,0.388736263,0,
