filename,#candidates,choices,null_gamma,permissive_gamma,strict_gamma
NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,8,5.0,0.160660661,0.657177753,0.418921458
NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict.csv,5,5.0,0.3084,0.735926305,0.551835064
NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict.csv,6,5.0,0.2391,0.687950249,0.313773782
NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict.csv,7,5.0,0.193106893,0.655577063,0.420880716
NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,4,5.0,0.5793,0.780429594,0.689289976
NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,8,5.0,0.17962038,0.661887854,0.392644202
NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,15,5.0,0.119380619,0.48,0.210711297
NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,12,5.0,0.136963037,0.48863859,0.25798237
NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,3,4.0,0.8893,0.890203907,0.846713247
NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,9,5.0,0.149001996,0.616659856,0.32677602
NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,3,4.0,0.900800801,0.879619786,0.845100369
NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,6,5.0,0.2309,0.690441248,0.531650523
NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,8,5.0,0.166433566,0.700253616,0.420248132
NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,4,5.0,0.6085,0.821652943,0.708691674
NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,7,5.0,0.215115115,0.735636135,0.535888182
NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict.csv,5,5.0,0.325925926,0.734899329,0.560359663
NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict.csv,6,5.0,0.225674326,0.702168719,0.551553023
NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict.csv,6,5.0,0.25014985,0.706431107,0.514323454
NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict.csv,7,5.0,0.1875,0.670614011,0.420489212
NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict.csv,6,5.0,0.241141141,0.72500263,0.454284011
NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict.csv,11,5.0,0.136063936,0.602432807,0.281338044
NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,4,5.0,0.656156156,0.757263535,0.649046461
NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict.csv,3,4.0,0.84955045,0.929475869,0.910326933
NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,8,5.0,0.184484484,0.635601017,0.422579423
NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict.csv,4,5.0,0.5863,0.763525305,0.656694091
NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict.csv,5,5.0,0.3368,0.714611872,0.573711676
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,9,5.0,0.15035035,0.543728172,0.31621071
NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict.csv,7,5.0,0.1772,0.674286838,0.423372024
NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict.csv,6,5.0,0.2358,0.730844395,0.447932794
NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict.csv,12,5.0,0.13033033,0.586628759,0.313517705
NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict.csv,4,5.0,0.6367,0.751881628,0.687307561
NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict.csv,13,5.0,0.1239,0.525760349,0.263873204
NewYorkCity_06222021_DEMMayorCitywide.csv,13,5.0,0.128957916,0.462661277,0.165850332
NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,3,4.0,0.855344655,0.898467414,0.874147063
NewYorkCity_06222021_REPBoroughPresidentQueens.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,4,5.0,0.6066,0.841874458,0.729641528
NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict.csv,5,5.0,0.3322,0.771511967,0.633625219
NewYorkCity_06222021_REPMayorCitywide.csv,2,3.0,1.0,1.0,1.0
Oakland_11022010_CityAuditor.csv,2,3.0,1.0,1.0,1.0
Oakland_11022010_CityCouncilDistrict2.csv,2,3.0,1.0,1.0,1.0
